ID	NUMBER	CHINESE_GLOSS	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	NOTE
1	1	太阳	1	nouns	weather, geography	一、天象、地理	名 詞	sun	-
2	2	月亮	1	nouns	weather, geography	一、天象、地理	名 詞	moon	-
3	3	星	2	nouns	weather, geography	一、天象、地理	名 詞	star	-
4	4	风	2	nouns	weather, geography	一、天象、地理	名 詞	wind	-
5	5	雨	3	nouns	weather, geography	一、天象、地理	名 詞	rain	-
6	6	雾	3	nouns	weather, geography	一、天象、地理	名 詞	fog	-
7	7	露水	4	nouns	weather, geography	一、天象、地理	名 詞	dew	-
8	8	霜	4	nouns	weather, geography	一、天象、地理	名 詞	frost	-
9	9	雪	5	nouns	weather, geography	一、天象、地理	名 詞	snow	-
10	10	冰	5	nouns	weather, geography	一、天象、地理	名 詞	ice	-
11	11	冰雹	6	nouns	weather, geography	一、天象、地理	名 詞	hail	-
12	12	閃电	6	nouns	weather, geography	一、天象、地理	名 詞	lightning	-
13	13	雷	7	nouns	weather, geography	一、天象、地理	名 詞	thunder	-
14	14	虹	7	nouns	weather, geography	一、天象、地理	名 詞	rainbow	-
15	15	天气	8	nouns	weather, geography	一、天象、地理	名 詞	weather	-
16	16	晴天	8	nouns	weather, geography	一、天象、地理	名 詞	sunny day	-
17	17	阴天	9	nouns	weather, geography	一、天象、地理	名 詞	cloudy day	-
18	18	海	9	nouns	weather, geography	一、天象、地理	名 詞	sea // ocean	-
19	19	湖	10	nouns	weather, geography	一、天象、地理	名 詞	lake	-
20	20	池塘	10	nouns	weather, geography	一、天象、地理	名 詞	pond // pool	-
21	21	风景	11	nouns	weather, geography	一、天象、地理	名 詞	landscape	-
22	22	时候	11	nouns	time, season	二、时間、节令	名 詞	time // season // weather // hour	-
23	23	今年	12	nouns	time, season	二、时間、节令	名 詞	this year	-
24	24	明年	12	nouns	time, season	二、时間、节令	名 詞	next year	-
25	25	后年	13	nouns	time, season	二、时間、节令	名 詞	the year after next	-
26	26	去年	13	nouns	time, season	二、时間、节令	名 詞	last year	-
27	27	前年	14	nouns	time, season	二、时間、节令	名 詞	the year before last	-
28	28	日子	14	nouns	time, season	二、时間、节令	名 詞	day	-
29	29	今天	15	nouns	time, season	二、时間、节令	名 詞	today	-
30	30	明天	15	nouns	time, season	二、时間、节令	名 詞	tomorrow	-
31	31	后天	16	nouns	time, season	二、时間、节令	名 詞	the day after tomorrow	-
32	32	大后天	16	nouns	time, season	二、时間、节令	名 詞	three days from now	-
33	33	昨天	17	nouns	time, season	二、时間、节令	名 詞	yesterday	-
34	34	前天	17	nouns	time, season	二、时間、节令	名 詞	the day before yesterday	-
35	35	大前天	18	nouns	time, season	二、时間、节令	名 詞	three days before	-
36	36	白天	18	nouns	time, season	二、时間、节令	名 詞	daytime // day (opposed to night)	-
37	37	夜問	19	nouns	time, season	二、时間、节令	名 詞	nighttime // night (opposed to day)	夜间
38	38	早晨	19	nouns	time, season	二、时間、节令	名 詞	morning	-
39	39	上午	20	nouns	time, season	二、时間、节令	名 詞	forenoon	-
40	40	中午	20	nouns	time, season	二、时間、节令	名 詞	noon // midday	-
41	41	下午	21	nouns	time, season	二、时間、节令	名 詞	afternoon // evening	-
42	42	傍晚	21	nouns	time, season	二、时間、节令	名 詞	at dusk (nightfall) // toward evening	-
43	43	晚上	22	nouns	time, season	二、时間、节令	名 詞	evening // night	-
44	44	元且（正月初一）	22	nouns	time, season	二、时間、节令	名 詞	new year	元旦
45	45	端午节	23	nouns	time, season	二、时間、节令	名 詞	the Dragon Boat Festival	-
46	46	中秋节	23	nouns	time, season	二、时間、节令	名 詞	the Mid-autumn Festival (15th day of the 8th lunar month)	-
47	47	重阳节	24	nouns	time, season	二、时間、节令	名 詞	the Double-Nine Festival	-
48	48	除夕	24	nouns	time, season	二、时間、节令	名 詞	Chinese New Year's Eve	-
49	49	金子	25	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	gold	-
50	50	銀子	25	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	silver	-
51	51	銅	26	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	copper // brass // bronze	-
52	52	鉄	26	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	iron	-
53	53	鋼	27	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	steel	-
54	54	鉛	27	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	lead	-
55	55	鍚	28	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	tin	锡
56	56	煤	28	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	coal	-
57	57	煤油	29	nouns	minerals and other natural objects	三、矿物及其他自然物	名 詞	kerosine // paraffin	-
