NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	343997	I
#<<<
1	above	1741	731	344234	above / on
1	above	1741	731	344402	on / over / upon
1	above	1741	731	343522	over, be
#>>>
2	all	98	962	344322	all (adj)
3	bad	1292	1053	343991	bad
4	below, under	1485	732		???
#<<<
5	big	1202	964	343372	big, be
5	big	1202	964	343559	big, be
5	big	1202	964	343864	big, be
5	big	1202	964	344361	big (adj)
5	big	1202	964	344372	big (adj)
5	big	1202	964	344927	leaf, big, for use
#>>>
6	black	163	1005	343508	black, be
#<<<
7	cold (of temperature)	1287	1063	343466	cold, be
7	cold (of temperature)	1287	1063	344101	flu / cold
#>>>
8	correct (right)	1725	1045		???
9	dark	706	1013		???
10	dirty	1230	1086		???
#<<<
11	dry	1398	1028	344406	dark, very (adv/adj)
11	dry	1398	1028	344427	dark, very (adv/adj)
11	dry	1398	1028	343694	dry, get
11	dry	1398	1028	344887	person who cannot be moved by words or physical pu (n/adj)
11	dry	1398	1028	344452	vulgar (n/adj)
11	dry	1398	1028	343650	dry (putting in the smoke) (v)
11	dry	1398	1028	344828	sweet (n/adj)
11	dry	1398	1028	343467	dry, be
11	dry	1398	1028	343771	dry, be
11	dry	1398	1028	344824	dry, very (place) (adj)
11	dry	1398	1028	344453	deliberately (n/adj)
11	dry	1398	1028	344922	fruit (sour) (n/adj)
#>>>
12	early	672	1018		???
13	eight	1705	804		???
14	far	1406	974		???
15	firewood	10	534		???
16	five	493	801		???
17	four	1500	800		???
18	full	1429	984		???
#<<<
19	good	1035	1052	344094	beautiful / nice / good-looking
19	good	1035	1052	344480	good
19	good	1035	1052	343850	well, be
#>>>
20	green	1425	1009	344232	bamboo, green, to carry the dead body
#<<<
21	hard	1884	1034	344780	hard (very) (adj)
21	hard	1884	1034	343477	hard, be
21	hard	1884	1034	344206	solid
#>>>
22	he or she [third person singular]	262	934	344127	he / she / that (ref.)
#<<<
23	heavy	1210	1014	344817	heavy (very) (adj)
23	heavy	1210	1014	343640	heavy, be
#>>>
#<<<
24	here	136	944	343985	here (particularly)
24	here	136	944	343984	here
#>>>
25	high / tall	1265	968		???
26	horizontal	2376	1001		???
#<<<
27	hot	1286	1062	344836	hot, very (liquid)
27	hot	1286	1062	343531	warm, be
27	hot	1286	1062	343623	heat (v)
27	hot	1286	1062	343656	heat (v)
27	hot	1286	1062	344771	heat (n)
27	hot	1286	1062	343345	warm, make
#>>>
28	hundred	1634	824		???
#<<<
30	inside	1606	715	344766	worm, kind of, usually found in potato field or in
30	inside	1606	715	344969	inside
30	inside	1606	715	51083	mind / inside
30	inside	1606	715	343433	insert on / in (v)
#>>>
31	knife	1352	549		???
32	late	477	1019		???
33	left	244	710		???
34	light (of weight)	1052	1052		???
35	long	1203	972	343430	long, be
#<<<
36	many	1198	987	344582	more / many (adj/adv)
36	many	1198	987	344501	many / much (n)
#>>>
37	middle	1093	708		???
38	morning	1339	749		???
#<<<
39	narrow	1267	977	344641	bamboo basket, narrow, to carry chickens and pigs
39	narrow	1267	977	343545	close (teeth) (v)
#>>>
#<<<
40	near	1942	975	343545	close (teeth) (v)
40	near	1942	975	344241	near
40	near	1942	975	344248	near (at)
#>>>
41	new	1231	1050	344482	new
42	nine	1483	805		???
43	noon	12	750		???
#<<<
44	old (of person)	2112	1058	344416	brother, elder, of father
44	old (of person)	2112	1058	344449	sister, elder
44	old (of person)	2112	1058	344413	sister, elder, of mother
#>>>
#<<<
45	one	1493	797	343992	one (adv)
45	one	1493	797	343994	one (adv)
#>>>
#<<<
46	outside	762	714	344534	outside (n)
46	outside	762	714	344966	outside (adv)
#>>>
47	red	156	1007	344963	red (adj)
48	right	1019	711		???
49	round	1395	990		???
#<<<
50	salty	1091	1076	344760	salt (n)
50	salty	1091	1076	344762	salty (adj)
#>>>
51	seven	1704	803		???
52	sharp	1396	1020	343666	sharp, very, be
53	short	1645	973		???
54	shy	487	1365		???
55	six	1703	802		???
#<<<
56	small	1246	965	344551	house-like place, small, where dieties are kept an
56	small	1246	965	344531	bamboo, small, kind of
56	small	1246	965	344230	small
56	small	1246	965	343469	small, be
56	small	1246	965	344814	lizard, small, kind of
56	small	1246	965	344216	a little (adj)
56	small	1246	965	344219	a little (adj)
#>>>
57	smooth	1234	1037		???
58	soft	1856	1035	343421	soft, be
59	straight	1404	1003		???
60	ten	1515	806		???
#<<<
61	that	78	947	344127	he / she / that (ref.)
61	that	78	947	344753	that (downward)
61	that	78	947	344730	that (pron)
#>>>
62	the ant	587	365		???
63	the armpit	1886	92		???
#<<<
64	the bamboo	1927	389	344531	bamboo, small, kind of
64	the bamboo	1927	389	344232	bamboo, green, to carry the dead body
64	the bamboo	1927	389	344649	bamboo, kind of
64	the bamboo	1927	389	344606	bamboo
64	the bamboo	1927	389	344257	bamboo, kind of fine variety of, used for preparin
64	the bamboo	1927	389	344811	bamboo (kind of)
#>>>
65	the barley (tibetan or highland)	932	411	344293	barley
66	the belly	1251	96	344653	pain, stomach, gastric-like
#<<<
67	the bird	937	326	344294	bird
67	the bird	937	326	344888	bird, spring, kind of
67	the bird	937	326	344028	bird, kind of
67	the bird	937	326	344034	bird, kind of
67	the bird	937	326	344365	bird, kind of
67	the bird	937	326	344597	bird, kind of
#>>>
68	the blood	946	129	51176	blood
69	the body hair (hair or fur)	189	266		???
70	the bone	1394	133	51153	bone
71	the branch	1531	374		???
72	the breast (female)	1402	94		???
73	the child (young human)	1304	169	344254	child / baby
74	the cloud	1489	7		???
#<<<
75	the daughter	1357	222	344913	daughter (youngest)
75	the daughter	1357	222	344915	daughter (youngest)
75	the daughter	1357	222	344181	father-in-law of son / daughter
75	the daughter	1357	222	344182	mother-in-law of son / daughter
75	the daughter	1357	222	344255	son / daughter
75	the daughter	1357	222	344289	brother's son / daughter
#>>>
76	the dew	1977	15		???
77	the dog	2009	289	344032	dog
78	the dream	2374	699	344932	dream (n)
79	the dust	2	45	344592	dust (of soil)
#<<<
80	the ear	1247	81	343494	pierce (nose, ears)
80	the ear	1247	81	51127	ear
#>>>
#<<<
81	the earth (soil)	1228	40	343480	land (birds, planes, etc.) (v)
81	the earth (soil)	1228	40	344591	soil (n)
81	the earth (soil)	1228	40	344497	land (n)
81	the earth (soil)	1228	40	344971	earth
81	the earth (soil)	1228	40	344868	land / field
#>>>
82	the earthworm	2350	363		???
#<<<
83	the egg	744	450	51119	egg
83	the egg	744	450	344906	nit, egg, of louse
#>>>
84	the eye	1248	79	51141	eye
#<<<
85	the father	1217	218	343921	father
85	the father	1217	218	344533	father
85	the father	1217	218	344539	father
#>>>
86	the feather	1201	299	51168	quill / feather
#<<<
87	the fire	221	18	344712	fire (n)
87	the fire	221	18	343680	fire (arms) (v)
87	the fire	221	18	343623	heat (v)
87	the fire	221	18	343656	heat (v)
87	the fire	221	18	344771	heat (n)
#>>>
88	the fish	227	351	344177	fish (n)
89	the flea	232	355	344019	flea
#<<<
90	the flower	239	377	343804	bloom (v)
