NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY	RELATION	NOTE		
7064	above	0731	over / above	2	similar	(since both glosses are very similar, we denote this by putting the “simialr” in the RELATION column, @Mattis)		
								
1173416	all	0962	all / everything	2	similar	(see above, @Mattis)		
								
6464	and	0825	one hundred and one	6	remove	(remove the complete line, since the relation is wrong, if you can find a better word in the spreadsheet, you can add it (along with the key code), otherwise, remove the lines completely, or leave one line in which the CINDEX-cell has 0000 and teh CGLOSS-cell has ???, so that I know you didn't find anything)		
6464	and	1724	admire and envy (verb)	6	remove			
6464	and	1119	safe and sound	6	remove			
6464	and	1236	separated accidentally and lose contact with, get (verb)	6	remove			
6464	and	1589	look at and distinguish (characters) (verb)	6	remove			
6464	and	1320	divide family property and live apart (offspring) (verb)	6	remove			
								
6078	at	0752	night, at / evening, in the	2	remove	(here, you could try to find, whether “at” is in the source, if not, leave it with “remove”, or alternatively, change the cell in CINDEX to 0000 and the cell in CGLOSS to ???, this will be equivalent)		
								
5650	bad	1053	bad	1				
								
514093	because	0000	???	8	none	(“none” means, that we couldn't find any gloss)	(n means “none”, if you can't find an entry)	 
								
6199	below, under	0732	below / under	2				
								
5437	big	0964	big / large	2	narrower	(apart from “similar”, we have the two relations “narrower” and “broader”, here, it is “narrower”, since the gloss “big” is narrower than “big / large”)		
								
1341728	black	1005	black	1				
								
5639	cold (of temperature)	1063	cold (weather, water)	2				
								
7026	correct (right)	1045	right / correct	2				
								
5483	dirty	1086	dirty	1				
								
5989	dry	1028	dry	1				
								
5988	dull	1021	blunt / dull	2				
								
7005	eight	0804	eight	1				
								
5997	far	0974	far / distant	2				
								
5619	fat (obese)	1025	fat (pig)	2				
								
6393	female	0000	???	8				
								
5500	few	0924	several / few, a	2				
								
156104	five	0801	five	1				
								
6253	four	0800	four	1				
								
6040	full	0984	full	1				
								
443659	good	1052	good	1				
								
6032	green	1009	green	1				
								
5454	he or she [third person singular]	0934	he	2	broader			
5454	he or she [third person singular]	0000	???	8				
								
5451	heavy	1014	heavy	1				
								
1287831	here	0944	here	1				
								
5494	how	0957	how	1				
								
6685	hundred	0824	hundred	1				
								
5450	I [first person singular]	0928	I	2				
								
6076	if	0000	???	8				
								
6077	in	0784	ancient times, in	2				
								
5873	knife	0549	knife (noun)	2				
								
1499731	left	0710	left	1				
								
5438	long	0972	long	1				
								
6396	male	0000	???	8				
								
