ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above	5003	upper part, above, overhead	4
2	all	2763	all, completely (<H jəmma all + -ʔəy emphatic)	4
2	all	2846	all, completely	4
3	the ant	746	ant (sp.), small black ant with several varieties	4
4	the armpit	71	armpit	4
5	bad	8547	evil or bad (esp. speech, description), unpleasant, call by bad name	4
5	bad	6980	ugly, bad, evil (esp. talk), be corrupted, in bad condition, be unlucky, ruined	4
5	bad	7049	ugly, inauspicious, bad, evil	4
6	the bamboo	6876	bamboo (sp.) (B)	4
7	the barley (tibetan or highland)		!	
8	to be alive	8104	well, alive	4
9	the belly	6662	belly, stomach (B)	4
10	below, under	3245	underneath, beneath or below (place)	4
11	big	5776	big (esp. in height, length), large	4
12	the bird	6328	bird (sp.)	4
13	to bite	2774	bite (not insect bites)	4
14	black	3305	very dark, black	4
14	black	1501	black, dark	4
15	the blood	7675	blood (B)	4
16	to blow (of wind)		!	
17	the body hair (hair or fur)	6343	hair of body, fur, body feathers; weeds (ext.)	4
18	the bone	6651	bone (long), upper bone of arm, leg	4
18	the bone	9016	bone; hard matter in animal, tree	4
19	the branch		!	
20	the breast (female)	4095	milk, breast, white fluid (<N dudh)	4
21	to burn [intransitive]	8324	scorch, burn	4
22	to buy	7411	get, obtain (with effort, cost, intentionally), buy	4
23	to chew		!	
24	the child (young human)	8487	younger brother, younger cousin, child (gen.)	4
25	the cloud	6309	cloud, fog	4
26	cold (of temperature)	3078	cold (weather, person)	4
27	to come	7645	come	4
28	correct (right)	2200	correct, sound, sensible (words)	4
29	to count	3776	drop off, pull off one by one (petals, etc.); name one by one; count, tally, take account of (ext.)	4
30	to cry (weep)	1014	cry, weep	4
31	dark	9011	dark	2
31	dark	2464	dark	2
32	the daughter	2418	daughter	4
33	the dew	7994	dew (<N)	4
34	to die	7936	die	4
35	to dig	4252	dig (with instrument, esp. a digging stick)	4
36	dirty	9	untidy, dirty	4
37	the dog	637	dog	4
38	the dream	6178	dream (B)	4
39	to drink	3363	drink, imbibe, suck fruit, smoke (cigarette, etc.)	4
40	dry	8150	dry	2
41	the dust	7846	dust	4
42	the ear	4674	ear	4
43	early	7771	early (<N sabera)	4
44	the earth (soil)	7840	earth, soil, ground; floor (ext.)	4
45	the earthworm	3983	earthworm	4
46	to eat	2883	eat, consume, take in; gnawing (pain) (met.)	4
47	the egg	7622	egg (of bird)	4
47	the egg	230	egg	4
48	eight	4587		
49	the eye	6225	eye; gap, small hole (met.)	4
50	far	7460	distant, far, long (story, etc.); be gone, deceased (ext.)	4
51	the father	91	father	4
52	the feather	5419	feather, large wing pinion	4
53	to fight	6249	attack, fight	4
54	the fire	6442	fire (B)	4
54	the fire	8896	fire	4
